id,instance,goal,result,duration,correct_result,verdict,steps_obtained
26,exp_acyclic_depvary_step10_batch_yyy03.pl,u3,yes,0.13,yes,corr,1.0
27,exp_acyclic_depvary_step10_batch_yyy03.pl,f4,no,0.13,no,corr,2.0
28,exp_acyclic_depvary_step10_batch_yyy03.pl,w3,yes,0.11,yes,corr,1.0
29,exp_acyclic_depvary_step10_batch_yyy03.pl,v1,,600.0,no,TIMEOUT,
30,exp_acyclic_depvary_step10_batch_yyy03.pl,p3,no,0.65,no,corr,8.0
31,exp_acyclic_depvary_step10_batch_yyy04.pl,t4,no,0.12,no,corr,0.0
32,exp_acyclic_depvary_step10_batch_yyy04.pl,s5,yes,0.68,yes,corr,5.0
33,exp_acyclic_depvary_step10_batch_yyy04.pl,q4,yes,1.73,yes,corr,7.0
34,exp_acyclic_depvary_step10_batch_yyy04.pl,e4,yes,0.16,yes,corr,1.0
35,exp_acyclic_depvary_step10_batch_yyy04.pl,w1,yes,0.14,yes,corr,1.0
36,exp_acyclic_depvary_step10_batch_yyy04.pl,y1,,600.0,no,TIMEOUT,
37,exp_acyclic_depvary_step10_batch_yyy04.pl,p2,,600.0,no,TIMEOUT,
38,exp_acyclic_depvary_step10_batch_yyy04.pl,r2,no,12.12,no,corr,13
39,exp_acyclic_depvary_step10_batch_yyy04.pl,a4,,600.0,yes,TIMEOUT,
40,exp_acyclic_depvary_step10_batch_yyy04.pl,x2,yes,0.15,yes,corr,1
41,exp_acyclic_depvary_step10_batch_yyy05.pl,c3,no,1.29,no,corr,14
42,exp_acyclic_depvary_step10_batch_yyy05.pl,e1,no,0.17,no,corr,1
43,exp_acyclic_depvary_step10_batch_yyy05.pl,f5,yes,0.12,yes,corr,0
44,exp_acyclic_depvary_step10_batch_yyy05.pl,y3,yes,0.14,yes,corr,1
45,exp_acyclic_depvary_step10_batch_yyy05.pl,r4,yes,0.34,yes,corr,6
46,exp_acyclic_depvary_step10_batch_yyy05.pl,p1,no,1.21,no,corr,18
47,exp_acyclic_depvary_step10_batch_yyy05.pl,c2,no,29.27,no,corr,18
48,exp_acyclic_depvary_step10_batch_yyy05.pl,b1,yes,0.53,yes,corr,6
49,exp_acyclic_depvary_step10_batch_yyy05.pl,u2,no,4.21,no,corr,12
50,exp_acyclic_depvary_step10_batch_yyy05.pl,t1,yes,0.17,yes,corr,1
51,exp_acyclic_depvary_step10_batch_yyy06.pl,y4,no,0.18,no,corr,0
52,exp_acyclic_depvary_step10_batch_yyy06.pl,t3,yes,0.19,yes,corr,1
53,exp_acyclic_depvary_step10_batch_yyy06.pl,a5,no,0.2,no,corr,1
54,exp_acyclic_depvary_step10_batch_yyy06.pl,q4,no,0.2,no,corr,1
55,exp_acyclic_depvary_step10_batch_yyy06.pl,f5,yes,0.19,yes,corr,1
56,exp_acyclic_depvary_step10_batch_yyy06.pl,z4,yes,0.19,yes,corr,1
57,exp_acyclic_depvary_step10_batch_yyy06.pl,c1,yes,0.19,yes,corr,1
58,exp_acyclic_depvary_step10_batch_yyy06.pl,r4,no,0.24,no,corr,3
59,exp_acyclic_depvary_step10_batch_yyy06.pl,y1,no,0.26,no,corr,3
60,exp_acyclic_depvary_step10_batch_yyy06.pl,p1,yes,0.21,yes,corr,2
61,exp_acyclic_depvary_step10_batch_yyy07.pl,d4,,600.0,no,TIMEOUT,
62,exp_acyclic_depvary_step10_batch_yyy07.pl,u4,no,0.16,no,corr,0
63,exp_acyclic_depvary_step10_batch_yyy07.pl,b4,no,19.14,no,corr,18
64,exp_acyclic_depvary_step10_batch_yyy07.pl,z4,,600.0,no,TIMEOUT,
