id,instance,goal,result,duration,correct_result,verdict,steps_obtained
68,exp_acyclic_depvary_step10_batch_yyy07.pl,a6,yes,0.17,yes,corr,1.0
69,exp_acyclic_depvary_step10_batch_yyy07.pl,b3,yes,0.15,yes,corr,0.0
70,exp_acyclic_depvary_step10_batch_yyy07.pl,y4,no,35.83,no,corr,19.0
71,exp_acyclic_depvary_step10_batch_yyy08.pl,c3,yes,1.56,yes,corr,6.0
72,exp_acyclic_depvary_step10_batch_yyy08.pl,e1,yes,0.17,yes,corr,1.0
73,exp_acyclic_depvary_step10_batch_yyy08.pl,v5,yes,0.84,yes,corr,5.0
74,exp_acyclic_depvary_step10_batch_yyy08.pl,a5,yes,0.24,yes,corr,3.0
75,exp_acyclic_depvary_step10_batch_yyy08.pl,a4,,600.0,no,TIMEOUT,
76,exp_acyclic_depvary_step10_batch_yyy08.pl,z2,no,82.91,no,corr,17.0
77,exp_acyclic_depvary_step10_batch_yyy08.pl,q3,yes,0.17,yes,corr,1.0
78,exp_acyclic_depvary_step10_batch_yyy08.pl,t1,,600.0,no,TIMEOUT,
79,exp_acyclic_depvary_step10_batch_yyy08.pl,z4,yes,2.4,yes,corr,6.0
80,exp_acyclic_depvary_step10_batch_yyy08.pl,r5,no,0.19,no,corr,0.0
81,exp_acyclic_depvary_step10_batch_yyy09.pl,b2,no,0.24,no,corr,1.0
82,exp_acyclic_depvary_step10_batch_yyy09.pl,y4,no,0.17,no,corr,0.0
83,exp_acyclic_depvary_step10_batch_yyy09.pl,t3,yes,0.24,yes,corr,1.0
84,exp_acyclic_depvary_step10_batch_yyy09.pl,z1,yes,0.22,yes,corr,1.0
85,exp_acyclic_depvary_step10_batch_yyy09.pl,f5,yes,0.17,yes,corr,0.0
86,exp_acyclic_depvary_step10_batch_yyy09.pl,z4,no,0.24,no,corr,1.0
87,exp_acyclic_depvary_step10_batch_yyy09.pl,e3,no,0.29,no,corr,4.0
88,exp_acyclic_depvary_step10_batch_yyy09.pl,y1,no,0.2,no,corr,0.0
89,exp_acyclic_depvary_step10_batch_yyy09.pl,a3,no,0.2,no,corr,1.0
90,exp_acyclic_depvary_step10_batch_yyy09.pl,q2,,600.0,no,TIMEOUT,
91,exp_acyclic_depvary_step10_batch_yyy10.pl,d5,yes,0.13,yes,corr,5.0
92,exp_acyclic_depvary_step10_batch_yyy10.pl,a6,yes,0.08,yes,corr,1.0
93,exp_acyclic_depvary_step10_batch_yyy10.pl,v2,no,0.07,no,corr,0.0
94,exp_acyclic_depvary_step10_batch_yyy10.pl,x3,yes,0.09,yes,corr,1.0
95,exp_acyclic_depvary_step10_batch_yyy10.pl,x2,no,0.07,no,corr,0.0
96,exp_acyclic_depvary_step10_batch_yyy10.pl,y3,no,0.07,no,corr,0.0
97,exp_acyclic_depvary_step10_batch_yyy10.pl,b5,no,452.52,no,corr,25.0
98,exp_acyclic_depvary_step10_batch_yyy10.pl,e3,yes,0.08,yes,corr,1.0
99,exp_acyclic_depvary_step10_batch_yyy10.pl,x1,yes,0.12,yes,corr,3.0
100,exp_acyclic_depvary_step10_batch_yyy10.pl,r3,no,0.36,no,corr,12.0
101,exp_acyclic_depvary_step1_batch_yyy01.pl,u5,no,0.06,no,corr,0.0
102,exp_acyclic_depvary_step1_batch_yyy01.pl,s4,no,0.06,no,corr,0.0
103,exp_acyclic_depvary_step1_batch_yyy01.pl,d3,no,0.06,no,corr,0.0
104,exp_acyclic_depvary_step1_batch_yyy01.pl,q5,no,0.06,no,corr,0.0
105,exp_acyclic_depvary_step1_batch_yyy01.pl,z4,no,0.06,no,corr,0.0
106,exp_acyclic_depvary_step1_batch_yyy01.pl,s1,yes,0.06,yes,corr,1.0
107,exp_acyclic_depvary_step1_batch_yyy01.pl,z3,no,0.06,no,corr,0.0
108,exp_acyclic_depvary_step1_batch_yyy01.pl,u2,no,0.06,no,corr,0.0
109,exp_acyclic_depvary_step1_batch_yyy01.pl,c5,no,0.06,no,corr,0.0
110,exp_acyclic_depvary_step1_batch_yyy01.pl,b1,no,0.07,no,corr,1.0
111,exp_acyclic_depvary_step1_batch_yyy02.pl,y4,no,0.06,no,corr,0.0
112,exp_acyclic_depvary_step1_batch_yyy02.pl,z5,no,0.06,no,corr,0.0
113,exp_acyclic_depvary_step1_batch_yyy02.pl,x3,no,0.07,no,corr,0.0
114,exp_acyclic_depvary_step1_batch_yyy02.pl,q4,no,0.06,no,corr,0.0
115,exp_acyclic_depvary_step1_batch_yyy02.pl,x2,no,0.06,no,corr,0.0
116,exp_acyclic_depvary_step1_batch_yyy02.pl,c6,no,0.06,no,corr,0.0
117,exp_acyclic_depvary_step1_batch_yyy02.pl,d2,no,0.06,no,corr,0.0
118,exp_acyclic_depvary_step1_batch_yyy02.pl,y2,no,0.06,no,corr,0.0
119,exp_acyclic_depvary_step1_batch_yyy02.pl,e2,no,0.06,no,corr,0.0
120,exp_acyclic_depvary_step1_batch_yyy02.pl,q2,no,0.06,no,corr,0.0
