instance,goal,result,duration,correct_result,verdict,steps_obtained
exp_acyclic_depvary_step10_batch_yyy08.pl,a4,no,1.95,no,corr,
exp_acyclic_depvary_step10_batch_yyy08.pl,z2,no,2.35,no,corr,
exp_acyclic_depvary_step10_batch_yyy08.pl,q3,yes,1.93,yes,corr,13
exp_acyclic_depvary_step10_batch_yyy08.pl,t1,no,9.5,no,corr,
exp_acyclic_depvary_step10_batch_yyy08.pl,z4,yes,2.21,yes,corr,25
exp_acyclic_depvary_step10_batch_yyy08.pl,r5,no,1.67,no,corr,
exp_acyclic_depvary_step10_batch_yyy09.pl,b2,no,2.13,no,corr,
exp_acyclic_depvary_step10_batch_yyy09.pl,y4,no,1.64,no,corr,
exp_acyclic_depvary_step10_batch_yyy09.pl,t3,yes,1.78,yes,corr,3
exp_acyclic_depvary_step10_batch_yyy09.pl,z1,yes,1.84,yes,corr,4
exp_acyclic_depvary_step10_batch_yyy09.pl,f5,yes,1.58,yes,corr,
exp_acyclic_depvary_step10_batch_yyy09.pl,z4,no,1.84,no,corr,
exp_acyclic_depvary_step10_batch_yyy09.pl,e3,no,2.21,no,corr,
exp_acyclic_depvary_step10_batch_yyy09.pl,y1,no,1.6,no,corr,
exp_acyclic_depvary_step10_batch_yyy09.pl,a3,no,2.23,no,corr,
exp_acyclic_depvary_step10_batch_yyy09.pl,q2,no,9.24,no,corr,
exp_acyclic_depvary_step10_batch_yyy10.pl,d5,yes,3.51,yes,corr,131
exp_acyclic_depvary_step10_batch_yyy10.pl,a6,yes,3.19,yes,corr,121
exp_acyclic_depvary_step10_batch_yyy10.pl,v2,no,1.53,no,corr,
exp_acyclic_depvary_step10_batch_yyy10.pl,x3,yes,1.94,yes,corr,16
exp_acyclic_depvary_step10_batch_yyy10.pl,x2,no,1.62,no,corr,
exp_acyclic_depvary_step10_batch_yyy10.pl,y3,no,1.56,no,corr,
exp_acyclic_depvary_step10_batch_yyy10.pl,b5,no,2.61,no,corr,
exp_acyclic_depvary_step10_batch_yyy10.pl,e3,yes,2.0,yes,corr,21
exp_acyclic_depvary_step10_batch_yyy10.pl,x1,yes,2.07,yes,corr,22
exp_acyclic_depvary_step10_batch_yyy10.pl,r3,no,1.95,no,corr,
exp_acyclic_depvary_step1_batch_yyy01.pl,u5,no,1.15,no,corr,
