,aspforaba,flexable,flexASP,flexASPAlt1,flexASPAlt2
timeouts,0.00,0.00,773.00,524.00,521.00
time_tot [h],0.03,2.87,135.70,91.46,91.52
time_95 [h],0.02,2.48,79.04,55.96,55.35
min [s],0.00,0.98,0.01,0.01,0.02
median [s],0.01,1.33,0.04,0.06,0.06
mean [s],0.01,1.52,4.10,3.99,4.44
max [s],0.07,152.78,585.44,595.95,599.47
