goal,instance,verdict,duration
q2,exp_acyclic_depvary_step10_batch_yyy09.pl,no,0.024
d5,exp_acyclic_depvary_step10_batch_yyy10.pl,yes,0.03
a6,exp_acyclic_depvary_step10_batch_yyy10.pl,yes,0.025
v2,exp_acyclic_depvary_step10_batch_yyy10.pl,no,0.024
x3,exp_acyclic_depvary_step10_batch_yyy10.pl,yes,0.023
x2,exp_acyclic_depvary_step10_batch_yyy10.pl,no,0.022
y3,exp_acyclic_depvary_step10_batch_yyy10.pl,no,0.025
b5,exp_acyclic_depvary_step10_batch_yyy10.pl,no,0.028
e3,exp_acyclic_depvary_step10_batch_yyy10.pl,yes,0.026
x1,exp_acyclic_depvary_step10_batch_yyy10.pl,yes,0.029
r3,exp_acyclic_depvary_step10_batch_yyy10.pl,no,0.028
u5,exp_acyclic_depvary_step1_batch_yyy01.pl,no,0.002
s4,exp_acyclic_depvary_step1_batch_yyy01.pl,no,0.002
d3,exp_acyclic_depvary_step1_batch_yyy01.pl,no,0.001
q5,exp_acyclic_depvary_step1_batch_yyy01.pl,no,0.003
z4,exp_acyclic_depvary_step1_batch_yyy01.pl,no,0.002
s1,exp_acyclic_depvary_step1_batch_yyy01.pl,yes,0.003
z3,exp_acyclic_depvary_step1_batch_yyy01.pl,no,0.002
u2,exp_acyclic_depvary_step1_batch_yyy01.pl,no,0.001
c5,exp_acyclic_depvary_step1_batch_yyy01.pl,no,0.002
b1,exp_acyclic_depvary_step1_batch_yyy01.pl,no,0.002
y4,exp_acyclic_depvary_step1_batch_yyy02.pl,no,0.002
z5,exp_acyclic_depvary_step1_batch_yyy02.pl,no,0.002
x3,exp_acyclic_depvary_step1_batch_yyy02.pl,no,0.002
q4,exp_acyclic_depvary_step1_batch_yyy02.pl,no,0.002
x2,exp_acyclic_depvary_step1_batch_yyy02.pl,no,0.002
c6,exp_acyclic_depvary_step1_batch_yyy02.pl,no,0.002
d2,exp_acyclic_depvary_step1_batch_yyy02.pl,no,0.002
y2,exp_acyclic_depvary_step1_batch_yyy02.pl,no,0.003
e2,exp_acyclic_depvary_step1_batch_yyy02.pl,no,0.002
q2,exp_acyclic_depvary_step1_batch_yyy02.pl,no,0.002
u4,exp_acyclic_depvary_step1_batch_yyy03.pl,no,0.002
b1,exp_acyclic_depvary_step1_batch_yyy03.pl,no,0.002
x2,exp_acyclic_depvary_step1_batch_yyy03.pl,no,0.002
r5,exp_acyclic_depvary_step1_batch_yyy03.pl,no,0.002
x4,exp_acyclic_depvary_step1_batch_yyy03.pl,no,0.002
q2,exp_acyclic_depvary_step1_batch_yyy03.pl,no,0.002
c6,exp_acyclic_depvary_step1_batch_yyy03.pl,no,0.002
z2,exp_acyclic_depvary_step1_batch_yyy03.pl,no,0.003
v4,exp_acyclic_depvary_step1_batch_yyy03.pl,no,0.002
e3,exp_acyclic_depvary_step1_batch_yyy03.pl,no,0.002
u4,exp_acyclic_depvary_step1_batch_yyy04.pl,no,0.002
p3,exp_acyclic_depvary_step1_batch_yyy04.pl,no,0.002
v4,exp_acyclic_depvary_step1_batch_yyy04.pl,no,0.002
r1,exp_acyclic_depvary_step1_batch_yyy04.pl,yes,0.002
a3,exp_acyclic_depvary_step1_batch_yyy04.pl,no,0.002
p1,exp_acyclic_depvary_step1_batch_yyy04.pl,yes,0.002
p5,exp_acyclic_depvary_step1_batch_yyy04.pl,no,0.002
x3,exp_acyclic_depvary_step1_batch_yyy04.pl,no,0.002
r2,exp_acyclic_depvary_step1_batch_yyy04.pl,no,0.002
b6,exp_acyclic_depvary_step1_batch_yyy04.pl,no,0.003
v2,exp_acyclic_depvary_step1_batch_yyy05.pl,no,0.003
x3,exp_acyclic_depvary_step1_batch_yyy05.pl,no,0.002
f1,exp_acyclic_depvary_step1_batch_yyy05.pl,no,0.002
q5,exp_acyclic_depvary_step1_batch_yyy05.pl,no,0.002
w4,exp_acyclic_depvary_step1_batch_yyy05.pl,no,0.002
x5,exp_acyclic_depvary_step1_batch_yyy05.pl,no,0.002
y2,exp_acyclic_depvary_step1_batch_yyy05.pl,no,0.003
q2,exp_acyclic_depvary_step1_batch_yyy05.pl,no,0.002
v4,exp_acyclic_depvary_step1_batch_yyy05.pl,no,0.002
e3,exp_acyclic_depvary_step1_batch_yyy05.pl,no,0.002
b2,exp_acyclic_depvary_step1_batch_yyy06.pl,no,0.002
w5,exp_acyclic_depvary_step1_batch_yyy06.pl,no,0.003
s5,exp_acyclic_depvary_step1_batch_yyy06.pl,no,0.002
q4,exp_acyclic_depvary_step1_batch_yyy06.pl,no,0.002
w4,exp_acyclic_depvary_step1_batch_yyy06.pl,no,0.002
r4,exp_acyclic_depvary_step1_batch_yyy06.pl,no,0.002
b6,exp_acyclic_depvary_step1_batch_yyy06.pl,no,0.002
d1,exp_acyclic_depvary_step1_batch_yyy06.pl,yes,0.002
z1,exp_acyclic_depvary_step1_batch_yyy06.pl,no,0.002
b1,exp_acyclic_depvary_step1_batch_yyy06.pl,yes,0.002
c4,exp_acyclic_depvary_step1_batch_yyy07.pl,no,0.002
v5,exp_acyclic_depvary_step1_batch_yyy07.pl,no,0.002
z4,exp_acyclic_depvary_step1_batch_yyy07.pl,no,0.002
s1,exp_acyclic_depvary_step1_batch_yyy07.pl,yes,0.002
q1,exp_acyclic_depvary_step1_batch_yyy07.pl,yes,0.003
x4,exp_acyclic_depvary_step1_batch_yyy07.pl,no,0.003
f1,exp_acyclic_depvary_step1_batch_yyy07.pl,no,0.003
e5,exp_acyclic_depvary_step1_batch_yyy07.pl,no,0.003
t2,exp_acyclic_depvary_step1_batch_yyy07.pl,no,0.003
z2,exp_acyclic_depvary_step1_batch_yyy07.pl,no,0.002
t5,exp_acyclic_depvary_step1_batch_yyy08.pl,no,0.002
y4,exp_acyclic_depvary_step1_batch_yyy08.pl,no,0.002
w2,exp_acyclic_depvary_step1_batch_yyy08.pl,no,0.002
f5,exp_acyclic_depvary_step1_batch_yyy08.pl,no,0.003
e3,exp_acyclic_depvary_step1_batch_yyy08.pl,no,0.002
d2,exp_acyclic_depvary_step1_batch_yyy08.pl,no,0.002
v3,exp_acyclic_depvary_step1_batch_yyy08.pl,no,0.002
f2,exp_acyclic_depvary_step1_batch_yyy08.pl,no,0.002
f4,exp_acyclic_depvary_step1_batch_yyy08.pl,no,0.002
a3,exp_acyclic_depvary_step1_batch_yyy08.pl,no,0.002
t4,exp_acyclic_depvary_step1_batch_yyy09.pl,no,0.002
b3,exp_acyclic_depvary_step1_batch_yyy09.pl,no,0.002
d3,exp_acyclic_depvary_step1_batch_yyy09.pl,no,0.002
x5,exp_acyclic_depvary_step1_batch_yyy09.pl,no,0.002
r1,exp_acyclic_depvary_step1_batch_yyy09.pl,yes,0.002
q3,exp_acyclic_depvary_step1_batch_yyy09.pl,no,0.002
e3,exp_acyclic_depvary_step1_batch_yyy09.pl,no,0.002
r4,exp_acyclic_depvary_step1_batch_yyy09.pl,no,0.002
e2,exp_acyclic_depvary_step1_batch_yyy09.pl,no,0.002
r3,exp_acyclic_depvary_step1_batch_yyy09.pl,no,0.003
c4,exp_acyclic_depvary_step1_batch_yyy10.pl,no,0.002
d4,exp_acyclic_depvary_step1_batch_yyy10.pl,no,0.002
b1,exp_acyclic_depvary_step1_batch_yyy10.pl,yes,0.002
a4,exp_acyclic_depvary_step1_batch_yyy10.pl,no,0.002
y3,exp_acyclic_depvary_step1_batch_yyy10.pl,no,0.002
e3,exp_acyclic_depvary_step1_batch_yyy10.pl,no,0.002
r3,exp_acyclic_depvary_step1_batch_yyy10.pl,no,0.002
f2,exp_acyclic_depvary_step1_batch_yyy10.pl,no,0.002
q3,exp_acyclic_depvary_step1_batch_yyy10.pl,no,0.002
y2,exp_acyclic_depvary_step1_batch_yyy10.pl,no,0.003
b2,exp_acyclic_depvary_step2_batch_yyy01.pl,no,0.003
e1,exp_acyclic_depvary_step2_batch_yyy01.pl,yes,0.003
e5,exp_acyclic_depvary_step2_batch_yyy01.pl,no,0.002
c5,exp_acyclic_depvary_step2_batch_yyy01.pl,no,0.002
z4,exp_acyclic_depvary_step2_batch_yyy01.pl,no,0.003
c1,exp_acyclic_depvary_step2_batch_yyy01.pl,no,0.002
p1,exp_acyclic_depvary_step2_batch_yyy01.pl,no,0.003
y5,exp_acyclic_depvary_step2_batch_yyy01.pl,no,0.003
a6,exp_acyclic_depvary_step2_batch_yyy01.pl,no,0.002
s4,exp_acyclic_depvary_step2_batch_yyy01.pl,no,0.002
z5,exp_acyclic_depvary_step2_batch_yyy02.pl,no,0.003
e5,exp_acyclic_depvary_step2_batch_yyy02.pl,no,0.003
s5,exp_acyclic_depvary_step2_batch_yyy02.pl,no,0.003
p2,exp_acyclic_depvary_step2_batch_yyy02.pl,yes,0.003
a1,exp_acyclic_depvary_step2_batch_yyy02.pl,no,0.004
q2,exp_acyclic_depvary_step2_batch_yyy02.pl,no,0.002
d3,exp_acyclic_depvary_step2_batch_yyy02.pl,no,0.002
u4,exp_acyclic_depvary_step2_batch_yyy02.pl,no,0.002
w1,exp_acyclic_depvary_step2_batch_yyy02.pl,no,0.003
p3,exp_acyclic_depvary_step2_batch_yyy02.pl,no,0.002
d5,exp_acyclic_depvary_step2_batch_yyy03.pl,no,0.002
p5,exp_acyclic_depvary_step2_batch_yyy03.pl,no,0.003
v5,exp_acyclic_depvary_step2_batch_yyy03.pl,no,0.003
f5,exp_acyclic_depvary_step2_batch_yyy03.pl,no,0.004
p3,exp_acyclic_depvary_step2_batch_yyy03.pl,no,0.003
u3,exp_acyclic_depvary_step2_batch_yyy03.pl,no,0.003
y2,exp_acyclic_depvary_step2_batch_yyy03.pl,no,0.003
d1,exp_acyclic_depvary_step2_batch_yyy03.pl,yes,0.003
y3,exp_acyclic_depvary_step2_batch_yyy03.pl,no,0.003
r5,exp_acyclic_depvary_step2_batch_yyy03.pl,no,0.003
e1,exp_acyclic_depvary_step2_batch_yyy04.pl,no,0.003
f1,exp_acyclic_depvary_step2_batch_yyy04.pl,yes,0.003
v5,exp_acyclic_depvary_step2_batch_yyy04.pl,no,0.004
q5,exp_acyclic_depvary_step2_batch_yyy04.pl,no,0.003
v1,exp_acyclic_depvary_step2_batch_yyy04.pl,yes,0.004
c6,exp_acyclic_depvary_step2_batch_yyy04.pl,no,0.003
a6,exp_acyclic_depvary_step2_batch_yyy04.pl,no,0.003
y4,exp_acyclic_depvary_step2_batch_yyy04.pl,no,0.003
e2,exp_acyclic_depvary_step2_batch_yyy04.pl,no,0.002
