id,instance,goal,result,duration,correct_result,verdict,steps_obtained,constraints_no,constraints_max,constraints_min,is_trivial
58,exp_acyclic_depvary_step10_batch_yyy06.pl,r4,no,0.33,no,corr,3.0,None,None,None,no
59,exp_acyclic_depvary_step10_batch_yyy06.pl,y1,no,0.31,no,corr,3.0,None,None,None,no
60,exp_acyclic_depvary_step10_batch_yyy06.pl,p1,yes,0.42,yes,corr,2.0,None,None,None,no
61,exp_acyclic_depvary_step10_batch_yyy07.pl,d4,,600.0,no,TIMEOUT,,,,,no
62,exp_acyclic_depvary_step10_batch_yyy07.pl,u4,no,0.33,no,corr,0.0,None,None,None,yes
63,exp_acyclic_depvary_step10_batch_yyy07.pl,b4,no,49.09,no,corr,24.0,None,None,None,no
64,exp_acyclic_depvary_step10_batch_yyy07.pl,z4,no,207.65,no,corr,25.0,None,None,None,no
65,exp_acyclic_depvary_step10_batch_yyy07.pl,y1,no,246.6,no,corr,24.0,None,None,None,no
66,exp_acyclic_depvary_step10_batch_yyy07.pl,r2,yes,1.19,yes,corr,13.0,None,None,None,no
67,exp_acyclic_depvary_step10_batch_yyy07.pl,u2,yes,0.39,yes,corr,1.0,None,None,None,no
68,exp_acyclic_depvary_step10_batch_yyy07.pl,a6,yes,0.4,yes,corr,1.0,None,None,None,no
69,exp_acyclic_depvary_step10_batch_yyy07.pl,b3,yes,0.38,yes,corr,0.0,None,None,None,no
70,exp_acyclic_depvary_step10_batch_yyy07.pl,y4,no,43.26,no,corr,24.0,None,None,None,no
71,exp_acyclic_depvary_step10_batch_yyy08.pl,c3,yes,0.62,yes,corr,6.0,None,None,None,no
72,exp_acyclic_depvary_step10_batch_yyy08.pl,e1,yes,0.35,yes,corr,1.0,None,None,None,no
73,exp_acyclic_depvary_step10_batch_yyy08.pl,v5,yes,0.56,yes,corr,5.0,None,None,None,no
74,exp_acyclic_depvary_step10_batch_yyy08.pl,a5,yes,0.31,yes,corr,3.0,None,None,None,no
75,exp_acyclic_depvary_step10_batch_yyy08.pl,a4,,600.0,no,TIMEOUT,,,,,no
76,exp_acyclic_depvary_step10_batch_yyy08.pl,z2,no,4.2,no,corr,14.0,None,None,None,no
77,exp_acyclic_depvary_step10_batch_yyy08.pl,q3,yes,0.28,yes,corr,1.0,None,None,None,no
78,exp_acyclic_depvary_step10_batch_yyy08.pl,t1,,600.0,no,TIMEOUT,,,,,no
79,exp_acyclic_depvary_step10_batch_yyy08.pl,z4,yes,0.81,yes,corr,6.0,None,None,None,no
80,exp_acyclic_depvary_step10_batch_yyy08.pl,r5,no,0.55,no,corr,0.0,None,None,None,yes
81,exp_acyclic_depvary_step10_batch_yyy09.pl,b2,no,0.68,no,corr,1.0,None,None,None,no
82,exp_acyclic_depvary_step10_batch_yyy09.pl,y4,no,0.26,no,corr,0.0,None,None,None,yes
83,exp_acyclic_depvary_step10_batch_yyy09.pl,t3,yes,0.33,yes,corr,1.0,None,None,None,no
84,exp_acyclic_depvary_step10_batch_yyy09.pl,z1,yes,0.27,yes,corr,1.0,None,None,None,no
85,exp_acyclic_depvary_step10_batch_yyy09.pl,f5,yes,0.46,yes,corr,0.0,None,None,None,no
86,exp_acyclic_depvary_step10_batch_yyy09.pl,z4,no,0.91,no,corr,1.0,None,None,None,no
87,exp_acyclic_depvary_step10_batch_yyy09.pl,e3,no,0.75,no,corr,4.0,None,None,None,no
88,exp_acyclic_depvary_step10_batch_yyy09.pl,y1,no,0.57,no,corr,0.0,None,None,None,yes
89,exp_acyclic_depvary_step10_batch_yyy09.pl,a3,no,0.59,no,corr,1.0,None,None,None,no
90,exp_acyclic_depvary_step10_batch_yyy09.pl,q2,no,119.56,no,corr,25.0,None,None,None,no
91,exp_acyclic_depvary_step10_batch_yyy10.pl,d5,yes,0.43,yes,corr,5.0,None,None,None,no
92,exp_acyclic_depvary_step10_batch_yyy10.pl,a6,yes,0.66,yes,corr,1.0,None,None,None,no
93,exp_acyclic_depvary_step10_batch_yyy10.pl,v2,no,0.35,no,corr,0.0,None,None,None,yes
94,exp_acyclic_depvary_step10_batch_yyy10.pl,x3,yes,0.85,yes,corr,1.0,None,None,None,no
95,exp_acyclic_depvary_step10_batch_yyy10.pl,x2,no,0.43,no,corr,0.0,None,None,None,yes
96,exp_acyclic_depvary_step10_batch_yyy10.pl,y3,no,0.42,no,corr,0.0,None,None,None,yes
97,exp_acyclic_depvary_step10_batch_yyy10.pl,b5,no,203.17,no,corr,25.0,None,None,None,no
98,exp_acyclic_depvary_step10_batch_yyy10.pl,e3,yes,0.37,yes,corr,1.0,None,None,None,no
99,exp_acyclic_depvary_step10_batch_yyy10.pl,x1,yes,0.56,yes,corr,3.0,None,None,None,no
100,exp_acyclic_depvary_step10_batch_yyy10.pl,r3,no,0.23,no,corr,1.0,None,None,None,no
101,exp_acyclic_depvary_step1_batch_yyy01.pl,u5,no,0.29,no,corr,0.0,None,None,None,yes
102,exp_acyclic_depvary_step1_batch_yyy01.pl,s4,no,0.41,no,corr,0.0,None,None,None,yes
103,exp_acyclic_depvary_step1_batch_yyy01.pl,d3,no,0.24,no,corr,0.0,None,None,None,yes
104,exp_acyclic_depvary_step1_batch_yyy01.pl,q5,no,0.17,no,corr,0.0,None,None,None,yes
105,exp_acyclic_depvary_step1_batch_yyy01.pl,z4,no,0.25,no,corr,0.0,None,None,None,yes
106,exp_acyclic_depvary_step1_batch_yyy01.pl,s1,yes,0.25,yes,corr,1.0,None,None,None,no
107,exp_acyclic_depvary_step1_batch_yyy01.pl,z3,no,0.22,no,corr,0.0,None,None,None,yes
108,exp_acyclic_depvary_step1_batch_yyy01.pl,u2,no,0.22,no,corr,0.0,None,None,None,yes
109,exp_acyclic_depvary_step1_batch_yyy01.pl,c5,no,0.22,no,corr,0.0,None,None,None,yes
110,exp_acyclic_depvary_step1_batch_yyy01.pl,b1,no,0.2,no,corr,1.0,None,None,None,no
111,exp_acyclic_depvary_step1_batch_yyy02.pl,y4,no,0.31,no,corr,0.0,None,None,None,yes
112,exp_acyclic_depvary_step1_batch_yyy02.pl,z5,no,0.2,no,corr,0.0,None,None,None,yes
113,exp_acyclic_depvary_step1_batch_yyy02.pl,x3,no,0.56,no,corr,0.0,None,None,None,yes
114,exp_acyclic_depvary_step1_batch_yyy02.pl,q4,no,0.25,no,corr,0.0,None,None,None,yes
115,exp_acyclic_depvary_step1_batch_yyy02.pl,x2,no,0.2,no,corr,0.0,None,None,None,yes
116,exp_acyclic_depvary_step1_batch_yyy02.pl,c6,no,0.52,no,corr,0.0,None,None,None,yes
117,exp_acyclic_depvary_step1_batch_yyy02.pl,d2,no,0.29,no,corr,0.0,None,None,None,yes
118,exp_acyclic_depvary_step1_batch_yyy02.pl,y2,no,0.41,no,corr,0.0,None,None,None,yes
119,exp_acyclic_depvary_step1_batch_yyy02.pl,e2,no,0.36,no,corr,0.0,None,None,None,yes
120,exp_acyclic_depvary_step1_batch_yyy02.pl,q2,no,0.22,no,corr,0.0,None,None,None,yes
121,exp_acyclic_depvary_step1_batch_yyy03.pl,u4,no,0.28,no,corr,0.0,None,None,None,yes
122,exp_acyclic_depvary_step1_batch_yyy03.pl,b1,no,0.55,no,corr,1.0,None,None,None,no
123,exp_acyclic_depvary_step1_batch_yyy03.pl,x2,no,0.16,no,corr,0.0,None,None,None,yes
124,exp_acyclic_depvary_step1_batch_yyy03.pl,r5,no,0.18,no,corr,0.0,None,None,None,yes
125,exp_acyclic_depvary_step1_batch_yyy03.pl,x4,no,0.18,no,corr,0.0,None,None,None,yes
126,exp_acyclic_depvary_step1_batch_yyy03.pl,q2,no,0.29,no,corr,0.0,None,None,None,yes
127,exp_acyclic_depvary_step1_batch_yyy03.pl,c6,no,0.22,no,corr,0.0,None,None,None,yes
128,exp_acyclic_depvary_step1_batch_yyy03.pl,z2,no,0.26,no,corr,0.0,None,None,None,yes
129,exp_acyclic_depvary_step1_batch_yyy03.pl,v4,no,0.31,no,corr,0.0,None,None,None,yes
130,exp_acyclic_depvary_step1_batch_yyy03.pl,e3,no,0.21,no,corr,0.0,None,None,None,yes
131,exp_acyclic_depvary_step1_batch_yyy04.pl,u4,no,0.27,no,corr,0.0,None,None,None,yes
